"'['||S.BUILDING_ID||']'","LATN_NAME","BUILDING_NAME"
"[11562477]","衢州市","芹南路40B-6号-小富宾馆"
"[11562478]","衢州市","芹南路40C-1号-开化人民医院城南分部"
"[11562479]","衢州市","芹南路40C号-新世纪宾馆"
"[11562480]","衢州市","芹北路39#-金茂宾馆"
"[11562481]","衢州市","青少年宫路8#-喜迈康无糖驿站"
"[11562482]","衢州市","芹北路4#-开化古田山国家级自然保护区管理局"
"[11562483]","衢州市","芹北路47#-浙江玖源林业开发公司"
"[11562484]","衢州市","芹北路49#-卫生监督所"
"[11562485]","衢州市","芹北路9-新派教育培训中心"
"[11562486]","衢州市","解放街11号-温州银行"
"[11562487]","衢州市","芹南路13号-开化县道路运输管理所"
"[11562488]","衢州市","芹南路13号C-开化县华安房地产开发有限公司"
"[11562489]","衢州市","芹北路99-开化县工商行政管理局"
"[11562490]","衢州市","桃溪路商贸城18幢-小富宾馆"
"[11562491]","衢州市","桃溪路商贸城18幢-新小富宾馆"
"[11562492]","衢州市","芹西一区73号-开化县鹏宇物流有限公司"
"[11562493]","衢州市","芹西一区74号-开化高速交警大队"
"[11562494]","衢州市","桃溪路19号-开化县农村信用合作联社花山分社"
"[11562495]","衢州市","桃溪路15号-淳丰旅馆"
"[11562496]","衢州市","桃溪路11号-明慧中西医结合诊所"
"[11562497]","衢州市","桃溪路27号商贸城1幢-衢州鸿成建设有限公司"
"[11562498]","衢州市","江东北路88号-开化县实验小学求真楼"
"[11562499]","衢州市","江东北路88号-开化县实验小学至善楼"
"[11562500]","衢州市","江东北路88号-开化县实验小学尚美楼"
"[11562501]","衢州市","江东北路88号-开化县实验小学附楼"
"[11562502]","衢州市","江东北路88号-开化天地外国语学校人和楼"
"[11562503]","衢州市","江东北路88号-开化天地外国语学校天秀楼"
"[11562504]","衢州市","江东北路88号-开化天地外国语学校地杰楼"
"[11562505]","衢州市","江东北路88号-开化天地外国语学校宿舍楼"
"[11562506]","衢州市","江东北路88号-开化天地外国语学校宿舍楼2"
"[11562507]","衢州市","江东北路88号-开化天地外国语学校宿舍楼3"
"[11562508]","衢州市","横坑口1号-桃溪村便民服务中心"
"[11562509]","衢州市","桃溪路162号-开化县职业教育中心教学综合楼"
"[11562510]","衢州市","桃溪路162号-开化县职业教育中心实训大楼"
